City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Porto-Novo,6.4965,2.6036,25.9,84,89,1.8
Yellowknife,62.456,-114.3525,-29.77,82,40,5.66
Geraldton,-28.7667,114.6,23.96,43,40,5.66
Iaciara,-14.0958,-46.6317,20.72,96,100,0.97
Hobart,-42.8794,147.3294,29.92,35,0,1.79
Nanortalik,60.1432,-45.2371,-4.1,53,37,2.64
Bluff,-46.6,168.3333,14.33,67,100,11.42
Nouadhibou,20.931,-17.0347,16.99,82,3,5.66
Port Alfred,-33.5906,26.891,15.88,77,20,9.58
Kahului,20.8947,-156.47,26.01,79,20,3.6
Ushuaia,-54.8,-68.3,9.81,76,20,6.17
Kapaa,22.0752,-159.319,25.99,82,75,0.89
Jamestown,42.097,-79.2353,1.77,90,1,0.89
Aksarka,66.5606,67.7975,-36.64,100,46,2.06
Burla,21.5,83.8667,16.41,49,1,1.02
Las Cruces,32.3123,-106.7783,13.01,38,1,1.34
Hong Kong,22.2855,114.1577,19.03,66,96,0.89
Hermanus,-34.4187,19.2345,15.5,79,10,8.0
Mossamedes,-15.1961,12.1522,18.81,77,39,2.43
Clyde River,70.4692,-68.5914,-20.87,84,100,9.77
Naples,40.8333,14.25,12.3,60,0,2.24
Bonavista,48.6499,-53.1147,3.95,96,100,11.47
Longyearbyen,78.2186,15.6401,-0.09,69,40,10.29
Kaitangata,-46.2817,169.8464,15.52,43,99,6.21
Kirakira,-10.4544,161.9205,28.06,80,100,2.92
Vaini,-21.2,-175.2,29.09,79,20,4.63
Fernie,49.5,-115.0687,-6.95,99,93,0.73
Mataura,-46.1927,168.8643,14.15,47,80,4.84
Ribeira Grande,38.5167,-28.7,15.65,55,100,6.04
Kloulklubed,7.0419,134.2556,29.28,74,81,6.12
Beringovskiy,63.05,179.3167,-21.65,93,89,4.26
Arraial do Cabo,-22.9661,-42.0278,23.82,91,58,2.95
Deputatsky,69.3,139.9,-37.57,99,83,1.61
Iskitim,54.6366,83.3045,-3.1,96,100,6.33
Pisco,-13.7,-76.2167,20.57,83,0,1.03
Touros,-5.1989,-35.4608,27.5,77,23,6.23
Provideniya,64.3833,-173.3,-10.92,91,100,4.38
Tuktoyaktuk,69.4541,-133.0374,-25.0,77,90,2.06
Semey,50.4111,80.2275,-4.88,68,0,6.0
Bredasdorp,-34.5322,20.0403,14.6,73,0,7.62
Zhigansk,66.7697,123.3711,-39.11,100,87,1.67
Toyooka,35.5333,134.8333,6.06,87,75,2.57
Puerto Ayora,-0.7393,-90.3518,20.86,96,68,0.89
Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,-16.11,92,100,6.39
Rikitea,-23.1203,-134.9692,24.08,77,86,6.83
Dunedin,-45.8742,170.5036,16.0,52,82,4.92
Bengkulu,-3.8004,102.2655,27.72,73,91,4.37
